Iterative Test,,,,,,,,,,
Type of cancers,Number of cancers,Random forest accuracy,Random forest precision,Random forest recall,SVM accuracy,SVM precision,SVM recall,miRNAs from top 20 feature selection,Biologically,Clinically
breast,1,0.987565584,0.975385276,0.951013948,0.994194301,0.966559918,0.97814115,"hsa-let-7c, hsa-mir-100, hsa-mir-10b, hsa-mir-125b-1, hsa-mir-125b-2, hsa-mir-139, hsa-mir-141, hsa-mir-145, hsa-mir-182, hsa-mir-183, hsa-mir-200a, hsa-mir-204, hsa-mir-21, hsa-mir-337, hsa-mir-429, hsa-mir-486-1, hsa-mir-486-2, hsa-mir-592, hsa-mir-96, hsa-mir-99a",50,25
"breast, kidney",2,0.990669878,0.987612989,0.983843469,0.993965076,0.98097985,0.989090256,"hsa-mir-10b, hsa-mir-122, hsa-mir-141, hsa-mir-149, hsa-mir-182, hsa-mir-183, hsa-mir-190b, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-199a-2, hsa-mir-199b, hsa-mir-200a, hsa-mir-200c, hsa-mir-203a, hsa-mir-204, hsa-mir-205, hsa-mir-375, hsa-mir-6510, hsa-mir-96",50,15
"breast, kidney, corpus uteri",3,0.98578192,0.982801299,0.97869561,0.990383557,0.983125092,0.986552231,"hsa-mir-122, hsa-mir-139, hsa-mir-141, hsa-mir-149, hsa-mir-182, hsa-mir-183, hsa-mir-190b, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-203a, hsa-mir-204, hsa-mir-205, hsa-mir-375, hsa-mir-429, hsa-mir-6510, hsa-mir-96",55,25
"breast, kidney, corpus uteri, thyroid gland",4,0.985156214,0.981976923,0.977998045,0.989203432,0.983479903,0.989513093,"hsa-let-7i, hsa-mir-10a, hsa-mir-135a-1, hsa-mir-135a-2, hsa-mir-141, hsa-mir-182, hsa-mir-183, hsa-mir-190b, hsa-mir-196a-1, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-204, hsa-mir-205, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3",55,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung",5,0.982158584,0.979982337,0.977904225,0.985844108,0.981375413,0.984363504,"hsa-let-7i, hsa-mir-10a, hsa-mir-10b, hsa-mir-135a-1, hsa-mir-135a-2, hsa-mir-135b, hsa-mir-141, hsa-mir-182, hsa-mir-183, hsa-mir-190b, hsa-mir-196a-1, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200c, hsa-mir-204, hsa-mir-205, hsa-mir-29a, hsa-mir-375, hsa-mir-429",60,30
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland",6,0.981626947,0.975898192,0.974015968,0.981625147,0.977343681,0.977172569,"hsa-let-7i, hsa-mir-10a, hsa-mir-10b, hsa-mir-135a-1, hsa-mir-135a-2, hsa-mir-135b, hsa-mir-141, hsa-mir-181a-1, hsa-mir-181a-2, hsa-mir-181b-1, hsa-mir-181b-2, hsa-mir-183, hsa-mir-192, hsa-mir-196a-1, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200c, hsa-mir-204, hsa-mir-205, hsa-mir-375",55,15
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain",7,0.981789083,0.981481036,0.979265881,0.982003652,0.978631832,0.980658758,"hsa-mir-10a, hsa-mir-10b, hsa-mir-135a-1, hsa-mir-135a-2, hsa-mir-135b, hsa-mir-141, hsa-mir-181a-2, hsa-mir-196a-1, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-199b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-205, hsa-mir-375, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3",65,30
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary",8,0.979065065,0.979778935,0.976985166,0.982195033,0.977962264,0.979097179,"hsa-mir-10a, hsa-mir-126, hsa-mir-141, hsa-mir-153-2, hsa-mir-181a-2, hsa-mir-196a-1, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-199a-2, hsa-mir-199b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-21, hsa-mir-375, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3, hsa-mir-92b",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach",9,0.97625669,0.975538818,0.971868745,0.980898273,0.977781569,0.980048505,"hsa-mir-10a, hsa-mir-141, hsa-mir-181a-2, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-199b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3",65,35
"breast, kidney, corpus uteri, thyroid gland, bronchus and lung, prostate gland, brain, ovary, stomach, colon",10,0.972937294,0.969268323,0.967300464,0.979042904,0.974644169,0.976670681,"hsa-mir-10a, hsa-mir-141, hsa-mir-181a-2, hsa-mir-192, hsa-mir-194-1, hsa-mir-194-2, hsa-mir-196a-1, hsa-mir-196a-2, hsa-mir-196b, hsa-mir-200a, hsa-mir-200b, hsa-mir-200c, hsa-mir-205, hsa-mir-21, hsa-mir-215, hsa-mir-375, hsa-mir-429, hsa-mir-9-1, hsa-mir-9-2, hsa-mir-9-3",65,35
